Location,Property Type,Bedrooms,Bathrooms,Size (m2),Amenities,Price (KES),price_per_sqft,distance_to_cbd_km,amenity_score,total_rooms,room_density,bathroom_bedroom_ratio,is_luxury,property_category
Westlands,Land,1,2,65.0,Swimming Pool,5500000.0,84615.38,2.93,2.0,3,0.0462,2.0,0,Other
Kileleshwa,Apartment,1,2,65.0,Swimming Pool,6000000.0,92307.69,3.33,2.0,3,0.0462,2.0,0,Apartment
Kileleshwa,Apartment,1,1,47.0,Swimming Pool,5100000.0,108510.64,3.33,2.0,2,0.0426,1.0,0,Apartment
Kileleshwa,Apartment,2,2,95.17871719321032,En Suite,9210000.0,96765.33,3.33,0.5,4,0.042,1.0,0,Apartment
Kileleshwa,Apartment,1,1,81.6019007936508,En Suite,3000000.0,36763.85,3.33,0.5,2,0.0245,1.0,0,Apartment
Kileleshwa,Studio,1,1,40.0,Gym,4200000.0,105000.0,3.33,2.0,2,0.05,1.0,0,Apartment
Kilimani,Apartment,1,1,81.64634523809524,En Suite,3000000.0,36743.84,3.85,0.5,2,0.0245,1.0,0,Apartment
Kilimani,Apartment,1,1,65.83428314946764,En Suite,7000000.0,106327.58,3.85,0.5,2,0.0304,1.0,0,Apartment
Kileleshwa,Apartment,4,5,363.2450877696948,En Suite,13000000.0,35788.51,3.33,0.5,9,0.0248,1.25,0,Apartment
Kileleshwa,Apartment,3,3,113.21395830786906,En Suite,9000000.0,79495.5,3.33,0.5,6,0.053,1.0,0,Apartment
Kilimani,Apartment,1,1,76.0,En Suite,8360000.0,110000.0,3.85,0.5,2,0.0263,1.0,0,Apartment
Kileleshwa,Apartment,2,2,68.18633101759669,En Suite,6000000.0,87994.18,3.33,0.5,4,0.0587,1.0,0,Apartment
Kileleshwa,Apartment,4,4,299.1622209730363,En Suite,13500000.0,45126.02,3.33,0.5,8,0.0267,1.0,0,Apartment
Westlands,Land,2,2,85.00322133698657,En Suite,7000000.0,82349.82,2.93,0.5,4,0.0471,1.0,0,Other
Kilimani,Apartment,2,2,68.66186408781827,En Suite,6000000.0,87384.75,3.85,0.5,4,0.0583,1.0,0,Apartment
Kilimani,Apartment,4,4,414.0497269790423,En Suite,13500000.0,32604.78,3.85,0.5,8,0.0193,1.0,0,Apartment
Kilimani,Apartment,3,3,113.21395830786906,En Suite,9000000.0,79495.5,3.85,0.5,6,0.053,1.0,0,Apartment
Westlands,Land,2,2,85.00322133698657,En Suite,7000000.0,82349.82,2.93,0.5,4,0.0471,1.0,0,Other
Lavington,Apartment,3,3,143.23074402215477,En Suite,9000000.0,62835.67,5.48,0.5,6,0.0419,1.0,0,Apartment
Kilimani,Apartment,1,1,73.0,En Suite,8030000.0,110000.0,3.85,0.5,2,0.0274,1.0,0,Apartment
Lavington,Apartment,2,2,68.45522554009148,En Suite,6000000.0,87648.53,5.48,0.5,4,0.0584,1.0,0,Apartment
Lavington,Apartment,1,1,82.30634523809523,En Suite,3000000.0,36449.19,5.48,0.5,2,0.0243,1.0,0,Apartment
Westlands,Townhouse,2,2,73.0,"Swimming Pool, Gym, Garden, Parking, Borehole, Lift, En Suite, Balcony, CCTV, Generator, Fibre, Gate, Electric Fence",39406175.27494193,539810.62,2.93,13.0,4,0.0548,1.0,1,House
Kilimani,Apartment,1,1,69.0,Swimming Pool,7590000.0,110000.0,3.85,2.0,2,0.029,1.0,0,Apartment
Kilimani,Apartment,1,1,67.0,Swimming Pool,7370000.0,110000.0,3.85,2.0,2,0.0299,1.0,0,Apartment
Lavington,Townhouse,2,2,69.0,"Swimming Pool, Gym, Garden, Parking, Borehole, Lift, En Suite, Balcony, CCTV, Generator, Fibre, Gate, Electric Fence",34047508.60827526,493442.15,5.48,13.0,4,0.058,1.0,1,House
Thika Road,Apartment,1,1,70.0,En Suite,5200000.0,74285.71,11.8,0.5,2,0.0286,1.0,0,Apartment
Kilimani,Apartment,1,1,66.0,En Suite,7260000.0,110000.0,3.85,0.5,2,0.0303,1.0,0,Apartment
Kilimani,Apartment,1,1,62.0,Swimming Pool,6820000.0,110000.0,3.85,2.0,2,0.0323,1.0,0,Apartment
Westlands,Land,2,2,120.0,En Suite,11700000.0,97500.0,2.93,0.5,4,0.0333,1.0,0,Other
Westlands,Land,2,2,110.0,En Suite,10700000.0,97272.73,2.93,0.5,4,0.0364,1.0,0,Other
Westlands,Land,1,1,80.0,Swimming Pool,8200000.0,102500.0,2.93,2.0,2,0.025,1.0,0,Other
Westlands,Land,1,1,70.0,En Suite,6700000.0,95714.29,2.93,0.5,2,0.0286,1.0,0,Other
Westlands,Land,2,2,131.0,En Suite,14200000.0,108396.95,2.93,0.5,4,0.0305,1.0,0,Other
Westlands,Land,2,2,110.0,En Suite,11900000.0,108181.82,2.93,0.5,4,0.0364,1.0,0,Other
Kileleshwa,Apartment,3,3,138.2819790064653,En Suite,11000000.0,79547.6,3.33,0.5,6,0.0434,1.0,0,Apartment
Kileleshwa,Apartment,2,2,70.3879151279308,En Suite,7000000.0,99448.89,3.33,0.5,4,0.0568,1.0,0,Apartment
Kileleshwa,Apartment,1,1,38.610361111111104,En Suite,4000000.0,103599.13,3.33,0.5,2,0.0518,1.0,0,Apartment
Lavington,Apartment,2,2,70.87537807390319,En Suite,7000000.0,98764.91,5.48,0.5,4,0.0564,1.0,0,Apartment
Lavington,Apartment,1,1,39.13813888888888,En Suite,4000000.0,102202.1,5.48,0.5,2,0.0511,1.0,0,Apartment
Kileleshwa,Apartment,1,1,65.14906626329199,En Suite,6900000.0,105910.96,3.33,0.5,2,0.0307,1.0,0,Apartment
Kileleshwa,Apartment,2,2,138.0,En Suite,13500000.0,97826.09,3.33,0.5,4,0.029,1.0,0,Apartment
Kilimani,Apartment,1,1,70.0,En Suite,6900000.0,98571.43,3.85,0.5,2,0.0286,1.0,0,Apartment
Dagoretti,Studio,1,1,23.12,Swimming Pool,2435400.0,105337.37,7.67,2.0,2,0.0865,1.0,0,Apartment
Westlands,Land,2,2,120.0,"En Suite, SQ",12700000.0,105833.33,2.93,1.0,4,0.0333,1.0,0,Other
Kilimani,Apartment,2,2,68.0,En Suite,7500000.0,110294.12,3.85,0.5,4,0.0588,1.0,0,Apartment
Westlands,Land,1,1,55.0,"Swimming Pool, Rooftop",7800000.0,141818.18,2.93,2.5,2,0.0364,1.0,0,Other
Westlands,Land,2,3,139.0,"En Suite, SQ",15300000.0,110071.94,2.93,1.0,5,0.036,1.5,0,Other
Westlands,Studio,1,1,43.0,"Swimming Pool, Gym",5900000.0,137209.3,2.93,4.0,2,0.0465,1.0,0,Apartment
Kileleshwa,Apartment,1,1,68.0,Swimming Pool,6900000.0,101470.59,3.33,2.0,2,0.0294,1.0,0,Apartment
Westlands,Land,1,1,60.0,Swimming Pool,7000000.0,116666.67,2.93,2.0,2,0.0333,1.0,0,Other
Kilimani,Apartment,2,3,96.0,En Suite,12000000.0,125000.0,3.85,0.5,5,0.0521,1.5,0,Apartment
Kilimani,Apartment,2,2,71.0249708340842,En Suite,6950000.0,97852.91,3.85,0.5,4,0.0563,1.0,0,Apartment
Westlands,Land,1,1,129.26615990147693,En Suite,6000000.0,46415.86,2.93,0.5,2,0.0155,1.0,0,Other
Westlands,Land,2,2,206.14164324802783,En Suite,13000000.0,63063.43,2.93,0.5,4,0.0194,1.0,0,Other
Westlands,Land,2,2,134.00294445335842,En Suite,14500000.0,108206.58,2.93,0.5,4,0.0299,1.0,0,Other
Westlands,Land,1,2,60.0,Swimming Pool,7000000.0,116666.67,2.93,2.0,3,0.05,2.0,0,Other
Westlands,Land,2,3,82.0,En Suite,11000000.0,134146.34,2.93,0.5,5,0.061,1.5,0,Other
Westlands,Land,1,2,57.0,Swimming Pool,5200000.0,91228.07,2.93,2.0,3,0.0526,2.0,0,Other
Lavington,Apartment,2,3,91.0,En Suite,9500000.0,104395.6,5.48,0.5,5,0.0549,1.5,0,Apartment
Kileleshwa,Apartment,4,5,251.2909153859927,En Suite,18000000.0,71630.13,3.33,0.5,9,0.0358,1.25,0,Apartment
Lavington,Apartment,2,3,122.0,En Suite,10000000.0,81967.21,5.48,0.5,5,0.041,1.5,0,Apartment
Lavington,Apartment,1,2,64.0,Swimming Pool,6000000.0,93750.0,5.48,2.0,3,0.0469,2.0,0,Apartment
Lavington,Apartment,1,2,64.0,Swimming Pool,5600000.0,87500.0,5.48,2.0,3,0.0469,2.0,0,Apartment
Westlands,Land,2,3,132.0,En Suite,9900000.0,75000.0,2.93,0.5,5,0.0379,1.5,0,Other
Lavington,Apartment,3,3,247.03899507093143,En Suite,11000000.0,44527.38,5.48,0.5,6,0.0243,1.0,0,Apartment
Westlands,Land,2,3,132.0,En Suite,10000000.0,75757.58,2.93,0.5,5,0.0379,1.5,0,Other
Kileleshwa,Apartment,1,1,60.40588083481638,Swimming Pool,5500000.0,91050.74,3.33,2.0,2,0.0331,1.0,0,Apartment
Lavington,Apartment,2,2,333.59806168805574,En Suite,10700000.0,32074.53,5.48,0.5,4,0.012,1.0,0,Apartment
Lavington,Apartment,2,3,124.0,En Suite,9900000.0,79838.71,5.48,0.5,5,0.0403,1.5,0,Apartment
Lavington,Apartment,1,2,64.0,Swimming Pool,5500000.0,85937.5,5.48,2.0,3,0.0469,2.0,0,Apartment
Westlands,Land,1,2,65.0,Swimming Pool,6000000.0,92307.69,2.93,2.0,3,0.0462,2.0,0,Other
Kilimani,Apartment,3,3,132.0,En Suite,13900000.0,105303.03,3.85,0.5,6,0.0455,1.0,0,Apartment
Westlands,Land,2,2,239.54232290170748,En Suite,12500000.0,52182.85,2.93,0.5,4,0.0167,1.0,0,Other
Lavington,Apartment,2,2,95.85902411961726,En Suite,9200000.0,95974.27,5.48,0.5,4,0.0417,1.0,0,Apartment
Lavington,Apartment,1,1,64.44870459419937,En Suite,6500000.0,100855.4,5.48,0.5,2,0.031,1.0,0,Apartment
Lavington,Apartment,3,4,165.0,En Suite,15000000.0,90909.09,5.48,0.5,7,0.0424,1.33,0,Apartment
Westlands,Land,2,3,122.0,En Suite,9800000.0,80327.87,2.93,0.5,5,0.041,1.5,0,Other
Kilimani,Apartment,2,2,221.17891843276027,En Suite,10500000.0,47472.88,3.85,0.5,4,0.0181,1.0,0,Apartment
