Location,Property Type,Bedrooms,Bathrooms,Size (m2),Amenities,Price (KES)
Westlands,Land,1,2,65.0,Swimming Pool,5500000.0
Westlands,Villa,6,6,2287.827442803055,En Suite,260000000.0
Kileleshwa,Apartment,1,2,65.0,Swimming Pool,6000000.0
Kileleshwa,Apartment,1,1,47.0,Swimming Pool,5100000.0
Lavington,Townhouse,5,6,875.8541337429396,En Suite,75000000.0
Lavington,Townhouse,5,6,899.1200676119591,En Suite,81000000.0
Lavington,Townhouse,6,7,1223.038473716685,En Suite,85000000.0
Kileleshwa,Apartment,2,2,93.81527966541417,En Suite,9210000.0
Kileleshwa,Apartment,1,1,33.30947496764011,En Suite,3000000.0
Karen,Villa,5,6,2916.4396314393975,En Suite,190000000.0
Kileleshwa,Studio,1,1,40.0,Gym,4200000.0
Kilimani,Apartment,1,1,33.456141634306775,En Suite,3000000.0
Kilimani,Apartment,1,1,65.55650331300707,En Suite,7000000.0
Kilimani,Apartment,4,4,455.00705547583544,En Suite,13000000.0
Lavington,Apartment,4,4,454.1426492321708,En Suite,13500000.0
Kileleshwa,Apartment,4,5,382.34881899448055,En Suite,13000000.0
Kileleshwa,Apartment,3,3,108.67920970221279,En Suite,9000000.0
Kilimani,Apartment,1,1,76.0,En Suite,8360000.0
Kileleshwa,Apartment,2,2,70.23935915309323,En Suite,6000000.0
Westlands,Land,3,3,1040.2478911445507,En Suite,12000000.0
Kileleshwa,Apartment,4,4,372.9361683087978,En Suite,13500000.0
Westlands,Townhouse,1,2,65.0,"Swimming Pool, Gym, Garden, Parking, Borehole, Lift, En Suite, Balcony, CCTV, Generator, Fibre, Gate, Electric Fence",116082527.76604202
Westlands,Land,2,2,85.9101577882873,En Suite,7000000.0
Kilimani,Apartment,2,2,70.2772671353766,En Suite,6000000.0
Kilimani,Apartment,4,4,450.9041917575712,En Suite,13500000.0
Kilimani,Apartment,3,3,109.0664597022128,En Suite,9000000.0
Westlands,Land,2,2,85.9101577882873,En Suite,7000000.0
Lavington,Apartment,4,5,442.90646708458485,En Suite,13000000.0
Westlands,Land,3,2,577.0089448827695,En Suite,13000000.0
Lavington,Apartment,3,3,120.25402737898047,En Suite,9000000.0
Kilimani,Apartment,1,1,73.0,En Suite,8030000.0
Lavington,Apartment,2,2,70.39594829739484,En Suite,6000000.0
Westlands,Land,1,1,1344.539200522753,En Suite,4000000.0
Lavington,Apartment,1,1,34.00280830097344,En Suite,3000000.0
Westlands,Townhouse,2,2,73.0,"Swimming Pool, Gym, Garden, Parking, Borehole, Lift, En Suite, Balcony, CCTV, Generator, Fibre, Gate, Electric Fence",20939103.756718
Kilimani,Apartment,1,1,69.0,Swimming Pool,7590000.0
Kilimani,Apartment,1,1,67.0,Swimming Pool,7370000.0
Westlands,Land,1,1,672.0,Swimming Pool,8100000.0
Lavington,Townhouse,2,2,69.0,"Swimming Pool, Gym, Garden, Parking, Borehole, Lift, En Suite, Balcony, CCTV, Generator, Fibre, Gate, Electric Fence",15468361.09937534
Thika Road,Apartment,1,1,70.0,En Suite,5200000.0
Kilimani,Apartment,1,1,66.0,En Suite,7260000.0
Kilimani,Apartment,1,1,62.0,Swimming Pool,6820000.0
Westlands,Land,2,2,120.0,En Suite,11700000.0
Westlands,Land,2,2,110.0,En Suite,10700000.0
Westlands,Land,1,1,80.0,Swimming Pool,8200000.0
Westlands,Land,1,1,70.0,En Suite,6700000.0
Westlands,Land,2,2,131.0,En Suite,14200000.0
Westlands,Land,2,2,110.0,En Suite,11900000.0
Kileleshwa,Apartment,3,3,147.97608789182715,En Suite,11000000.0
Kileleshwa,Apartment,2,2,71.77041410519493,En Suite,7000000.0
Kileleshwa,Apartment,1,1,40.38312294869301,En Suite,4000000.0
Lavington,Apartment,2,2,72.06475126536955,En Suite,7000000.0
