Location,Property Type,Bedrooms,Bathrooms,Size (m2),Amenities,Price (KES),Listing Date,Source
Westlands,Land,1,2,65,Swimming Pool,5500000,N/A,BuyRentKenya
Westlands,Villa,6,6,N/A,En Suite,260000000,N/A,BuyRentKenya
Kileleshwa,Apartment,1,2,65,Swimming Pool,6000000,N/A,BuyRentKenya
Kileleshwa,Apartment,1,1,47,Swimming Pool,5100000,N/A,BuyRentKenya
Westlands,Land,N/A,N/A,N/A,None,25000000,N/A,BuyRentKenya
Lavington,Townhouse,5,6,N/A,En Suite,75000000,N/A,BuyRentKenya
Lavington,Townhouse,5,6,N/A,En Suite,81000000,N/A,BuyRentKenya
Lavington,Townhouse,6,7,N/A,En Suite,85000000,N/A,BuyRentKenya
Westlands,Land,2,N/A,N/A,En Suite,28644620,N/A,BuyRentKenya
Kileleshwa,Apartment,2,2,N/A,En Suite,9210000,N/A,BuyRentKenya
Kileleshwa,Apartment,1,1,N/A,En Suite,3000000,N/A,BuyRentKenya
Karen,Villa,5,6,N/A,En Suite,190000000,N/A,BuyRentKenya
Kileleshwa,Studio,N/A,1,40,Gym,4200000,N/A,BuyRentKenya
Kilimani,Apartment,1,1,N/A,En Suite,3000000,N/A,BuyRentKenya
Kilimani,Apartment,1,1,N/A,En Suite,7000000,N/A,BuyRentKenya
Kilimani,Apartment,4,4,N/A,En Suite,13000000,N/A,BuyRentKenya
Lavington,Apartment,4,4,N/A,En Suite,13500000,N/A,BuyRentKenya
Kileleshwa,Apartment,4,5,N/A,En Suite,13000000,N/A,BuyRentKenya
Kileleshwa,Apartment,3,3,N/A,En Suite,9000000,N/A,BuyRentKenya
Kilimani,Apartment,1,1,76,En Suite,8360000,N/A,BuyRentKenya
Kileleshwa,Apartment,2,2,N/A,En Suite,6000000,N/A,BuyRentKenya
Westlands,Land,3,3,N/A,En Suite,12000000,N/A,BuyRentKenya
Kileleshwa,Apartment,4,4,N/A,En Suite,13500000,N/A,BuyRentKenya
Nairobi,Townhouse,N/A,N/A,N/A,"Swimming Pool, Gym, Garden, Parking, Borehole, Lift, En Suite, Balcony, CCTV, Generator, Fibre, Gate, Electric Fence",N/A,N/A,BuyRentKenya
Westlands,Townhouse,1,2,65,"Swimming Pool, Gym, Garden, Parking, Borehole, Lift, En Suite, Balcony, CCTV, Generator, Fibre, Gate, Electric Fence",N/A,19,BuyRentKenya
Westlands,Land,2,2,N/A,En Suite,7000000,N/A,BuyRentKenya
Kilimani,Apartment,2,2,N/A,En Suite,6000000,N/A,BuyRentKenya
Kilimani,Apartment,4,4,N/A,En Suite,13500000,N/A,BuyRentKenya
Kilimani,Apartment,3,3,N/A,En Suite,9000000,N/A,BuyRentKenya
Westlands,Land,2,2,N/A,En Suite,7000000,N/A,BuyRentKenya
Lavington,Apartment,4,5,N/A,En Suite,13000000,N/A,BuyRentKenya
Westlands,Land,3,2,N/A,En Suite,13000000,N/A,BuyRentKenya
Lavington,Apartment,3,3,N/A,En Suite,9000000,N/A,BuyRentKenya
Kilimani,Apartment,1,1,73,En Suite,8030000,N/A,BuyRentKenya
Lavington,Apartment,2,2,N/A,En Suite,6000000,N/A,BuyRentKenya
Westlands,Land,1,1,N/A,En Suite,4000000,N/A,BuyRentKenya
Lavington,Apartment,1,1,N/A,En Suite,3000000,N/A,BuyRentKenya
Westlands,Townhouse,2,2,73,"Swimming Pool, Gym, Garden, Parking, Borehole, Lift, En Suite, Balcony, CCTV, Generator, Fibre, Gate, Electric Fence",N/A,8,BuyRentKenya
Kilimani,Apartment,1,1,69,Swimming Pool,7590000,N/A,BuyRentKenya
Kilimani,Apartment,1,1,67,Swimming Pool,7370000,N/A,BuyRentKenya
Westlands,Land,1,1,672,Swimming Pool,8100000,N/A,BuyRentKenya
Lavington,Townhouse,2,2,69,"Swimming Pool, Gym, Garden, Parking, Borehole, Lift, En Suite, Balcony, CCTV, Generator, Fibre, Gate, Electric Fence",N/A,8,BuyRentKenya
Thika Road,Apartment,1,1,70,En Suite,5200000,N/A,BuyRentKenya
Kilimani,Apartment,1,1,66,En Suite,7260000,N/A,BuyRentKenya
Kilimani,Apartment,1,1,62,Swimming Pool,6820000,N/A,BuyRentKenya
Westlands,Land,2,2,120,En Suite,11700000,N/A,BuyRentKenya
Westlands,Land,2,2,110,En Suite,10700000,N/A,BuyRentKenya
Westlands,Land,1,1,80,Swimming Pool,8200000,N/A,BuyRentKenya
Westlands,Land,1,1,70,En Suite,6700000,N/A,BuyRentKenya
Westlands,Land,2,2,131,En Suite,14200000,N/A,BuyRentKenya
Westlands,Land,2,2,110,En Suite,11900000,N/A,BuyRentKenya
Kileleshwa,Apartment,3,3,N/A,En Suite,11000000,N/A,BuyRentKenya
Kileleshwa,Apartment,2,2,N/A,En Suite,7000000,N/A,BuyRentKenya
Kileleshwa,Apartment,1,1,N/A,En Suite,4000000,N/A,BuyRentKenya
Kilimani,Commercial,N/A,N/A,N/A,None,5000000,N/A,BuyRentKenya
Lavington,Apartment,2,2,N/A,En Suite,7000000,N/A,BuyRentKenya
Thika Road,Townhouse,1,1,70,"Swimming Pool, Gym, Garden, Parking, Borehole, Lift, En Suite, Balcony, CCTV, Generator, Fibre, Gate, Electric Fence",N/A,8,BuyRentKenya
Lavington,Apartment,1,1,N/A,En Suite,4000000,N/A,BuyRentKenya
Kileleshwa,Apartment,1,1,N/A,En Suite,6900000,N/A,BuyRentKenya
Kileleshwa,Apartment,2,2,138,En Suite,13500000,N/A,BuyRentKenya
Westlands,Land,2,N/A,N/A,En Suite,11500000,N/A,BuyRentKenya
Kilimani,Apartment,3,N/A,N/A,En Suite,23000000,N/A,BuyRentKenya
Kilimani,Apartment,2,N/A,N/A,En Suite,10000000,N/A,BuyRentKenya
Westlands,Land,1,N/A,N/A,Swimming Pool,12000000,N/A,BuyRentKenya
Westlands,Land,3,N/A,N/A,En Suite,26000000,N/A,BuyRentKenya
Kileleshwa,Apartment,2,N/A,N/A,"En Suite, SQ",13800000,N/A,BuyRentKenya
Lower Kabete,Studio,N/A,N/A,N/A,Gym,2300000,N/A,BuyRentKenya
Kilimani,Apartment,1,1,70,En Suite,6900000,N/A,BuyRentKenya
Dagoretti,Studio,N/A,1,22,Swimming Pool,2300000,N/A,BuyRentKenya
Westlands,Land,2,2,120,"En Suite, SQ",12700000,N/A,BuyRentKenya
Kilimani,Apartment,2,2,68,En Suite,7500000,N/A,BuyRentKenya
Westlands,Land,1,1,55,"Swimming Pool, Rooftop",7800000,N/A,BuyRentKenya
Karen,House,5,4,N/A,Garden,130000000,N/A,BuyRentKenya
Westlands,Land,2,3,139,"En Suite, SQ",15300000,N/A,BuyRentKenya
